"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Cell_Type"
"Ptbp2",1.12628055895169e-17,-0.817277725190829,0.095,0.241,1.99407972962397e-13,"vcapEC"
"Rab3ip",2.09384956649075e-09,-0.817191416605444,0.039,0.108,3.70716065747187e-05,"vcapEC"
"Mylip",7.2688329322702e-08,-0.815995856647338,0.042,0.103,0.0012869468706584,"vcapEC"
"Phlpp2",1.63705516135446e-10,-0.811234019441123,0.037,0.111,2.89840616317807e-06,"vcapEC"
"Slc10a7",2.11516642910141e-18,-0.808667295264809,0.152,0.329,3.74490216272405e-14,"vcapEC"
"Pde7a",7.97278432259403e-08,-0.802708623729901,0.055,0.122,0.0014115814643152,"vcapEC"
"Far2",8.47825835228015e-31,-0.801261846045998,0.219,0.483,1.5010756412712e-26,"vcapEC"
"Diaph2",6.32181816923414e-23,-0.800867611541456,0.203,0.415,1.1192779068629e-18,"vcapEC"
"Nhsl1",2.29900233852378e-26,-0.797462983435363,0.248,0.501,4.07038364035635e-22,"vcapEC"
"Rab11fip5",4.68145479187752e-13,-0.797080742934537,0.06,0.161,8.28851570901915e-09,"vcapEC"
"Eml6",2.37501385543253e-19,-0.795310351113366,0.107,0.265,4.20496203104329e-15,"vcapEC"
"Gtdc1",1.6445981122633e-18,-0.794220767874479,0.141,0.31,2.91176095776217e-14,"vcapEC"
"Nfyc",8.02669413072554e-16,-0.793907725513294,0.066,0.185,1.42112619584496e-11,"vcapEC"
"Gstm2",2.27047993012358e-08,-0.793684319895999,0.057,0.129,0.0004019884716283,"vcapEC"
"Tmcc1",7.67340885763605e-24,-0.793501849706385,0.22,0.445,1.35857703824446e-19,"vcapEC"
"Pbx3",7.01804813833791e-15,-0.791297295984019,0.124,0.264,1.24254542289273e-10,"vcapEC"
"Ints6l",2.22701103129479e-11,-0.787675170639073,0.057,0.148,3.94292303090742e-07,"vcapEC"
"Nedd4l",2.73242197147938e-25,-0.784798114885761,0.188,0.415,4.83775310050425e-21,"vcapEC"
"Cnpy4",2.8691952370234e-09,-0.784065602498293,0.037,0.104,5.07991016714994e-05,"vcapEC"
"Fbxl17",8.66340469493341e-26,-0.783725881316956,0.246,0.494,1.53385580123796e-21,"vcapEC"
"Lrrc59",1.4995726502055e-12,-0.78242013878437,0.06,0.159,2.65499337718883e-08,"vcapEC"
"Tm6sf1",6.39348178395323e-20,-0.781477771154782,0.121,0.294,1.13196594984892e-15,"vcapEC"
"Snx18",2.30014587851488e-11,-0.776909213022648,0.065,0.159,4.07240827791059e-07,"vcapEC"
"Ltc4s",2.26789385834791e-10,-0.774417475517853,0.048,0.126,4.01530607620498e-06,"vcapEC"
"Gm37240",5.35071241447631e-15,-0.770349632894817,0.115,0.254,9.47343632983031e-11,"vcapEC"
"Pde4d",5.08379557810918e-15,-0.769348395538359,0.101,0.234,9.0008600710423e-11,"vcapEC"
"Gm15738",4.18705013056014e-14,-0.768600460807651,0.074,0.19,7.41317225615673e-10,"vcapEC"
"Spata1",2.24342781753744e-08,-0.766232463707811,0.055,0.126,0.000397198895095,"vcapEC"
"Lhfpl2",6.87867190431492e-28,-0.76523412618799,0.207,0.46,1.21786886065896e-23,"vcapEC"
"Tet2",4.9874282618781e-15,-0.764815066988221,0.084,0.209,8.83024173765518e-11,"vcapEC"
"Wwox",4.94217212853898e-16,-0.764286214090427,0.139,0.293,8.75011575357826e-12,"vcapEC"
"Gbp5",4.57730381437859e-24,-0.763490887251898,0.155,0.364,8.1041164033573e-20,"vcapEC"
"Dstyk",1.41478568801106e-14,-0.759927939779144,0.075,0.193,2.50487806062359e-10,"vcapEC"
"Cask",2.8373710163139e-14,-0.759062682245838,0.122,0.26,5.02356538438376e-10,"vcapEC"
"Zdhhc20",7.52774420919404e-29,-0.759009659318663,0.21,0.47,1.3327871122378e-24,"vcapEC"
"Man1a",1.38780105854121e-11,-0.756708652400536,0.092,0.199,2.45710177414721e-07,"vcapEC"
"Prkdc",4.53985742887284e-08,-0.755787813147792,0.046,0.111,0.0008037817577819,"vcapEC"
"Pias2",1.37073519812891e-15,-0.753747673751535,0.094,0.228,2.42688666828723e-11,"vcapEC"
"Epm2aip1",1.65352924853374e-11,-0.753609824994405,0.068,0.165,2.92757353452899e-07,"vcapEC"
"Serinc5",2.78462754774715e-18,-0.75354964057021,0.104,0.259,4.93018307328633e-14,"vcapEC"
"Rnf217",3.09883570938614e-10,-0.751455189024259,0.059,0.142,5.48648862346815e-06,"vcapEC"
"Nt5dc1",6.58276975478488e-10,-0.749534439973713,0.067,0.153,1.16547938508466e-05,"vcapEC"
"Acsl1",9.51679049996901e-11,-0.748465275308105,0.07,0.162,1.68494775801951e-06,"vcapEC"
"St6galnac3",3.85447489903797e-38,-0.748442274876116,0.502,0.779,6.82434780874672e-34,"vcapEC"
"Rapgef5",5.38655932840252e-28,-0.74529988652036,0.264,0.528,9.53690329093665e-24,"vcapEC"
"Fam135a",1.57442693130353e-10,-0.745046439635518,0.06,0.146,2.7875228818729e-06,"vcapEC"
"Usp32",7.19242708760914e-15,-0.744324693706924,0.11,0.249,1.2734192158612e-10,"vcapEC"
"Fat4",2.14322273072217e-13,-0.743508113029978,0.059,0.162,3.79457584474359e-09,"vcapEC"
"Inpp4a",1.02164345377655e-08,-0.742403595516454,0.057,0.131,0.0001808819734911,"vcapEC"
"Atrnl1",5.4541808441228e-18,-0.739660081193532,0.136,0.303,9.65662718451942e-14,"vcapEC"
"Irak4",8.68116281983532e-08,-0.739144302508296,0.051,0.116,0.0015369998772518,"vcapEC"
"Trerf1",4.06521724210903e-10,-0.737474396592185,0.055,0.136,7.19746712715404e-06,"vcapEC"
"Cep112",2.29134320381948e-16,-0.737008401060268,0.12,0.272,4.05682314236239e-12,"vcapEC"
"Ccser1",1.86451678656735e-08,-0.734851624307408,0.056,0.128,0.0003301126970617,"vcapEC"
"Ankrd6",7.23813205152911e-12,-0.73407663135177,0.057,0.148,1.28151127972323e-07,"vcapEC"
"Arnt",8.29431614061579e-19,-0.733970798275814,0.13,0.302,1.46850867269602e-14,"vcapEC"
"Rabgap1l",1.51779763501982e-17,-0.731426691540386,0.189,0.372,2.68726071280258e-13,"vcapEC"
"Hdgfl3",2.47908951263373e-15,-0.730506593553651,0.109,0.248,4.38922798211802e-11,"vcapEC"
"Arhgap23",9.57635061619288e-15,-0.730465091671455,0.107,0.243,1.69549287659695e-10,"vcapEC"
"Rngtt",2.52826510245647e-14,-0.729887973931646,0.075,0.193,4.47629336389917e-10,"vcapEC"
"Hs2st1",3.47001615427689e-09,-0.729746396040235,0.061,0.14,6.14366360114724e-05,"vcapEC"
"Vrk2",1.60915403131982e-07,-0.728718748938949,0.051,0.114,0.0028490072124517,"vcapEC"
"Lrrk1",9.94330559649005e-24,-0.723000459639107,0.203,0.43,1.76046225585856e-19,"vcapEC"
"Phkb",4.48844886207885e-14,-0.722433793377513,0.104,0.233,7.94679871031061e-10,"vcapEC"
"Manba",1.75242987973501e-08,-0.72052756636028,0.054,0.124,0.000310267710207,"vcapEC"
"2700049A03Rik",3.09308111976699e-09,-0.719931461820552,0.036,0.102,5.47630012254746e-05,"vcapEC"
"Ildr2",4.18727956779111e-15,-0.718646275160832,0.115,0.254,7.41357847477416e-11,"vcapEC"
"Apbb2",3.40825332483008e-38,-0.714498058638509,0.512,0.806,6.03431251161166e-34,"vcapEC"
"Dennd4c",5.0801705891968e-23,-0.711447281426869,0.199,0.425,8.99444202817293e-19,"vcapEC"
"Zswim6",9.47365252806888e-16,-0.709875996570178,0.115,0.26,1.67731018009459e-11,"vcapEC"
"Lxn",2.43273600836599e-14,-0.708962768091644,0.105,0.237,4.30715910281199e-10,"vcapEC"
"Ldlrad4",7.00547366981712e-17,-0.707133301607909,0.135,0.296,1.24031911324112e-12,"vcapEC"
"E330009J07Rik",8.82020610336758e-12,-0.706030491992808,0.055,0.147,1.56161749060123e-07,"vcapEC"
"Ehbp1",3.40294291204934e-10,-0.70383216787322,0.071,0.16,6.02491042578336e-06,"vcapEC"
"Cpne2",9.97255601523038e-15,-0.700024428769532,0.096,0.226,1.76564104249654e-10,"vcapEC"
"Phldb2",1.4945899441251e-20,-0.699654097377164,0.166,0.363,2.64617149607349e-16,"vcapEC"
"Asxl2",7.78367142247154e-18,-0.698711069369222,0.135,0.304,1.37809902534859e-13,"vcapEC"
"Relch",2.0197307110676e-13,-0.698319283337505,0.12,0.252,3.57593322394519e-09,"vcapEC"
"Pip4p2",7.07077001064893e-10,-0.697358803533314,0.057,0.139,1.25187983038539e-05,"vcapEC"
"Smad3",3.8488911887219e-12,-0.69702464917994,0.06,0.157,6.81446184963212e-08,"vcapEC"
"Sat1",6.66027273384439e-24,-0.696204012836601,0.284,0.522,1.17920128752715e-19,"vcapEC"
"Pds5a",1.81313121591294e-17,-0.694435224040643,0.173,0.354,3.21014881777385e-13,"vcapEC"
"Nceh1",2.22399110739258e-09,-0.693943348396821,0.058,0.137,3.93757625563856e-05,"vcapEC"
"Calcrl",4.32509100088978e-24,-0.692810626501556,0.259,0.504,7.65757361707535e-20,"vcapEC"
"Sdccag8",1.92077080851295e-08,-0.691776023323715,0.06,0.134,0.0003400724716472,"vcapEC"
"Akt2",5.30508509730339e-07,-0.690336288874486,0.05,0.11,0.0093926531647756,"vcapEC"
"Mbip",4.19248794602213e-11,-0.687946448359876,0.072,0.168,7.42279990843218e-07,"vcapEC"
"Hipk2",1.33289223235202e-09,-0.684313552380487,0.068,0.153,2.35988569737924e-05,"vcapEC"
"Osbpl8",1.28273542280456e-18,-0.684299623001443,0.197,0.397,2.27108306607548e-14,"vcapEC"
"Nrep",5.99770438232552e-14,-0.683104934896923,0.086,0.207,1.06189356089073e-09,"vcapEC"
"Ahcyl2",3.18378638367207e-09,-0.683060915412598,0.075,0.159,5.63689379229139e-05,"vcapEC"
"Dnase2a",9.6002474374916e-08,-0.682593838659336,0.049,0.113,0.0016997238088078,"vcapEC"
"Cachd1",3.29435161844775e-20,-0.682115814467024,0.121,0.297,5.83264954046174e-16,"vcapEC"
"Chm",5.90749603887098e-16,-0.681944194182354,0.115,0.261,1.04592217368211e-11,"vcapEC"
"Ttc19",3.26248562940469e-10,-0.676974592567026,0.078,0.172,5.77623080686101e-06,"vcapEC"
"Dcun1d3",2.14343101254972e-22,-0.675669556535204,0.193,0.415,3.79494460771928e-18,"vcapEC"
"Large1",1.2185843488307e-20,-0.672897085940682,0.119,0.293,2.15750358960475e-16,"vcapEC"
"Ptpn4",5.53784589393698e-09,-0.672486456389564,0.058,0.134,9.80475615521541e-05,"vcapEC"
"2210408I21Rik",2.18789985184563e-08,-0.671977174428673,0.046,0.112,0.0003873676687692,"vcapEC"
"Ptk2",1.74816963864495e-25,-0.670760215050174,0.263,0.524,3.09513434522089e-21,"vcapEC"
"Pard3b",3.16688351954784e-20,-0.670314510917198,0.223,0.432,5.60696727135944e-16,"vcapEC"
"Bcl6b",7.1452827873731e-11,-0.667117016821707,0.082,0.182,1.26507231750441e-06,"vcapEC"
"Lmbr1",1.5493396023222e-11,-0.666968481708679,0.078,0.181,2.74310576591145e-07,"vcapEC"
"Ptprj",2.88409083086082e-19,-0.666547994796243,0.183,0.374,5.10628281603908e-15,"vcapEC"
"Rlim",2.69318009507609e-19,-0.665538317556299,0.143,0.323,4.76827535833222e-15,"vcapEC"
"D230025D16Rik",2.2908170324868e-08,-0.66389773479042,0.045,0.111,0.0004055891556017,"vcapEC"
"Rbm10",5.55702919373133e-13,-0.663429302497414,0.086,0.201,9.83872018750133e-09,"vcapEC"
"Rfx7",1.26377299382765e-12,-0.663045111171853,0.079,0.189,2.23751008557186e-08,"vcapEC"
"Csad",1.3575419894679e-10,-0.662145629470825,0.067,0.159,2.40352809235292e-06,"vcapEC"
"Dnajb4",5.85742558134928e-08,-0.661407247064449,0.063,0.136,0.0010370571991778,"vcapEC"
"Zdhhc6",2.56535502466124e-12,-0.660573085299927,0.076,0.182,4.54196107116272e-08,"vcapEC"
"Ercc4",2.78610253783777e-08,-0.659534034321962,0.039,0.102,0.0004932794543241,"vcapEC"
"Cdh2",1.26358174673636e-14,-0.658516151962047,0.098,0.229,2.23717148259673e-10,"vcapEC"
"Acer3",1.16323493205577e-08,-0.657676752475466,0.058,0.132,0.0002059507447204,"vcapEC"
"Ncoa6",7.93625200966424e-16,-0.657192841587538,0.139,0.298,1.40511341831105e-11,"vcapEC"
"Pou2f1",9.65532732814343e-14,-0.657101448704896,0.108,0.239,1.70947570344779e-09,"vcapEC"
"Pot1a",5.48110411438861e-10,-0.655296722004822,0.078,0.172,9.70429483452503e-06,"vcapEC"
"Mertk",3.7415328539712e-17,-0.654538083118161,0.114,0.27,6.62438391795601e-13,"vcapEC"
"5330438D12Rik",7.56178187057022e-11,-0.652996981285801,0.073,0.168,1.33881348018446e-06,"vcapEC"
"Psen2",1.94547548816377e-10,-0.652957735679222,0.063,0.151,3.44446435179396e-06,"vcapEC"
"Tmed1",5.75679864466114e-07,-0.652868803629336,0.045,0.102,0.0101924120003725,"vcapEC"
"St6gal1",3.12489611814779e-20,-0.652798066814944,0.182,0.381,5.53262857718067e-16,"vcapEC"
"Prpf40b",9.37439603095918e-13,-0.650609208070974,0.107,0.23,1.65973681728132e-08,"vcapEC"
"Dennd1a",2.34909927588683e-22,-0.650275256078606,0.205,0.423,4.15908026795762e-18,"vcapEC"
"Mtif3",7.40046606748873e-08,-0.650063072398977,0.055,0.124,0.0013102525172488,"vcapEC"
"Rbm14",3.00022100658256e-07,-0.648738634383839,0.045,0.105,0.0053118912921544,"vcapEC"
"Exoc4",2.03169123637118e-27,-0.648172323669346,0.289,0.562,3.59710933399518e-23,"vcapEC"
"Mtss1",6.45906888326375e-25,-0.647485227614864,0.35,0.619,1.14357814578185e-20,"vcapEC"
"Nt5m",8.950269436132e-08,-0.647150121156991,0.049,0.113,0.0015846452036671,"vcapEC"
"Zfp934",7.89899117779331e-09,-0.646913358686975,0.036,0.1,0.0001398516388028,"vcapEC"
"Abcc5",7.19174523614395e-09,-0.645351742134005,0.048,0.119,0.0001273298494059,"vcapEC"
"Epb41l2",3.80714846473182e-14,-0.645127848440864,0.156,0.305,6.74055635680768e-10,"vcapEC"
