"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Klhl18",6.66888542009912e-16,0.546690772858929,0.12,0.022,1.16318699497369e-11
"Hbp1",6.67225448238939e-16,0.537857507022701,0.142,0.033,1.16377462681836e-11
"Mark2",6.97935121750651e-16,0.554897340063828,0.112,0.018,1.21733843935748e-11
"Hif1a",7.26517180323465e-16,0.265293446104999,0.123,0.023,1.26719126592019e-11
"Tmem65",8.10983325531351e-16,0.733341331460969,0.11,0.018,1.41451711639178e-11
"Tmem165",8.4050620118222e-16,0.623311653553715,0.129,0.026,1.46601091610203e-11
"Rpl28-ps3",8.69027101059133e-16,-1.01219128705219,0.009,0.108,1.51575706966734e-11
"Ifnar2",9.09677673195903e-16,0.516928121469832,0.287,0.124,1.58665979758829e-11
"Exoc3",9.45945419919397e-16,0.668957602606288,0.113,0.019,1.64991800142341e-11
"Wdfy1",9.5705501868351e-16,0.570916687455367,0.125,0.024,1.66929536358778e-11
"Enc1",1.03835382469747e-15,0.830669921840581,0.117,0.022,1.81109674103733e-11
"Abcd2",1.06701474601757e-15,0.496838496815834,0.159,0.043,1.86108712000384e-11
"Gm10159",1.12533062074921e-15,-0.939911602464818,0.006,0.1,1.96280166871077e-11
"Lrp6",1.12770860437637e-15,0.624412249341272,0.119,0.022,1.96694934775326e-11
"Spen",1.15551078041082e-15,0.648446052809455,0.106,0.016,2.01544190319256e-11
"Pik3cb",1.15920404945682e-15,0.58376633127021,0.102,0.014,2.02188370306259e-11
"Icosl",1.17376519704094e-15,0.885716642404452,0.115,0.021,2.0472812566788e-11
"Ppp2r5e",1.20842761091978e-15,0.490342983393644,0.113,0.019,2.10773943896627e-11
"Mtch2",1.21276859130178e-15,0.645592557627956,0.128,0.026,2.11531097694856e-11
"Stxbp5",1.26448393398842e-15,0.660090561620906,0.106,0.016,2.2055128776626e-11
"Tmem168",1.32034707043513e-15,0.533188220016231,0.12,0.023,2.30294936025295e-11
"Lsm14a",1.36727318260879e-15,0.382999262616384,0.128,0.026,2.38479788510626e-11
"Btg2",1.44337858153462e-15,0.476736944154645,0.229,0.085,2.51754092191269e-11
"Nfam1",1.45029425100918e-15,0.593297537485588,0.205,0.07,2.52960323261022e-11
"Smo",1.45975465116676e-15,0.808747153268716,0.109,0.018,2.54610406256506e-11
"Rassf4",1.49393127487598e-15,0.645056428880379,0.138,0.031,2.60571492963868e-11
"Appl1",1.50843616024213e-15,0.639371430504411,0.115,0.02,2.63101435069433e-11
"Rpl4",1.53552572982768e-15,-1.67456429623441,0.08,0.22,2.67826397796543e-11
"Slc30a5",1.55306009323346e-15,0.698500955701876,0.115,0.02,2.7088474146178e-11
"Cab39",1.71819171621588e-15,0.641348255512017,0.129,0.027,2.99686999142374e-11
"Slain2",1.84914823602327e-15,0.59835538998831,0.1,0.014,3.22528435327178e-11
"Uso1",1.91177425629387e-15,0.563632101829014,0.135,0.03,3.33451665782776e-11
"Eprs",1.91334480095379e-15,0.65824138065438,0.122,0.024,3.3372560018236e-11
"Ola1",1.92071163427783e-15,0.396745471789438,0.103,0.015,3.35010523250739e-11
"Gnaq",1.96790768835727e-15,0.528371189559693,0.14,0.033,3.43242459003275e-11
"Rab39",1.97672985514038e-15,0.709124352923117,0.125,0.025,3.44781221333584e-11
"Gm13436",2.06107491506982e-15,-1.04495184213619,0.009,0.105,3.59492686686479e-11
"Ergic2",2.06636982088351e-15,0.64971997696895,0.122,0.024,3.60416224158501e-11
"Rbbp6",2.07445524947939e-15,0.271976485623179,0.13,0.027,3.61826484614195e-11
"0610040J01Rik",2.15129985273078e-15,0.614662267268922,0.166,0.049,3.75229720313303e-11
"Maged1",2.19566279341116e-15,0.678367998324496,0.1,0.014,3.82967504426775e-11
"Chd4",2.3309021000793e-15,0.352386295208031,0.201,0.067,4.06555944295831e-11
