"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Cell_Type"
"Slc39a10",1.02322429955399e-14,0.541093053081691,0.955,0.908,1.81161862236034e-10,"vEC"
"Kitl",2.24985760417991e-13,0.536713139553122,0.963,0.923,3.98337288820052e-09,"vEC"
"S100a11",1.66270799212674e-06,-0.533951100351039,0.508,0.648,0.0294382450006039,"vEC"
"Ltbp4",2.61997384359346e-09,0.525036133815,0.822,0.754,4.63866369008222e-05,"vEC"
"Tpm4",4.0380432671442e-10,0.49160031284031,0.908,0.852,7.14935560447881e-06,"vEC"
"Slco1c1",1.79868660800047e-14,0.490883468336362,0.963,0.88,3.18457463946483e-10,"vEC"
"Ece1",7.87929945662933e-07,0.475600758290705,0.782,0.718,0.0139502996879622,"vEC"
"Ctnnb1",2.06557942170434e-08,0.463547266854909,0.915,0.852,0.0003657108366127,"vEC"
"Macf1",1.01882744062376e-13,0.460196245021193,0.97,0.951,1.80383398362436e-09,"vEC"
"Rpl10",1.19656579240311e-12,-0.45582735719293,0.919,0.947,2.1185197354497e-08,"vEC"
"Klf4",2.20990102573611e-07,0.452741236942546,0.932,0.863,0.0039126297660657,"vEC"
"Qk",1.68805542412438e-12,0.452234896452818,0.965,0.908,2.98870212841221e-08,"vEC"
"Eef1b2",1.68308091985064e-08,-0.452219511260146,0.843,0.912,0.0002979894768595,"vEC"
"Gpx1",9.55467130993786e-08,-0.450736588921651,0.72,0.838,0.0016916545554245,"vEC"
"Gnas",1.22526911890141e-19,0.441527397738901,0.992,0.965,2.16933897501494e-15,"vEC"
"Flt1",9.95164303188138e-25,0.436222563865833,0.999,1,1.7619383987946e-20,"vEC"
"Rps9",6.62241624137804e-14,-0.429994303192484,0.983,0.972,1.17249879553598e-09,"vEC"
"Rpl4",7.9936730111301e-08,-0.422101668282258,0.858,0.926,0.0014152798066205,"vEC"
"Gatm",5.18789227214341e-10,0.42080846799453,0.958,0.912,9.18516326782992e-06,"vEC"
"Rack1",3.60414102439851e-11,-0.418917680317481,0.919,0.965,6.38113168369756e-07,"vEC"
"Rps5",5.52496062470816e-13,-0.415407640022146,0.988,0.975,9.7819427860458e-09,"vEC"
"Rps4x",1.40284698138017e-13,-0.415141167589456,0.984,0.982,2.48374058053358e-09,"vEC"
"Arl4a",2.46472779961735e-11,0.41017119474229,0.972,0.933,4.36380056922252e-07,"vEC"
"Rps7",1.04772996717034e-13,-0.403550004244268,0.98,0.975,1.85500590687508e-09,"vEC"
"Rps20",1.35801201657259e-15,-0.394463508203893,0.997,0.989,2.40436027534177e-11,"vEC"
"Rpl18",2.44638739738583e-12,-0.38986905348777,0.983,0.975,4.33132888707161e-08,"vEC"
"Cox7a2l",1.41239768302347e-07,-0.385281073033853,0.786,0.88,0.002500650097793,"vEC"
"Rps3a1",2.03330594809387e-14,-0.38278446365333,0.992,0.986,3.5999681811002e-10,"vEC"
"Rpl7",2.47153668335313e-11,-0.380975068287865,0.986,0.982,4.37585569787672e-07,"vEC"
"Abhd2",5.48520437954258e-08,0.379694137700839,0.894,0.81,0.000971155435398,"vEC"
"Anxa3",1.3922653957035e-06,0.377778049934208,0.916,0.898,0.0246500588309305,"vEC"
"Rpl13",1.02069089660514e-19,-0.37747356068197,0.999,0.996,1.8071332324394e-15,"vEC"
"Sema3c",1.47177922555946e-06,0.376524923973689,0.924,0.894,0.0260578511885302,"vEC"
"Eef1a1",2.89747772188878e-14,-0.374996041502023,0.999,0.996,5.12998430660408e-10,"vEC"
"Rps2",3.06053883245246e-10,-0.372566457130609,0.984,0.972,5.41868400285708e-06,"vEC"
"Rpl9",1.98125410778716e-14,-0.361169028206933,0.995,0.989,3.50781039783717e-10,"vEC"
"Mal",1.15400071554464e-08,-0.351936562357138,0.94,0.982,0.0002043158266871,"vEC"
